"id","name","creation_date"
"1895c224-7659-4a02-b06e-5b10d6eb3780","[IDN] FirstHealth Richmond Family Medicine","2023-04-05 15:05:41.157634+00"
"1805df4d-3b4e-4306-868a-37b9a09c0bc0","[IDN] FirstHealth Vass Family Medicine","2023-04-10 20:07:09.905769+00"
"53fd1de6-389f-42d4-9df8-859d47ced74a","[IDN] FirstHealth Whispering Pine Family Medicine","2023-04-10 20:32:14.540659+00"
"c89a5840-6373-4c4e-9a11-35573de4ede5","[IDN] FirstHealth Pinecroft Family Medicine","2023-04-10 20:32:16.135431+00"
"03b03e7d-348b-489c-ba96-a6d52b24ab7c","[IDN] FirstHealth Robbins Family Medicine","2023-04-10 20:32:17.695705+00"
"3be1d242-e7f2-4edd-8047-ece84781e2e1","[IDN] FirstHealth Biscoe Family Medicine","2023-04-10 20:32:19.261416+00"
"0a9b1146-c158-4701-8147-37d45e38bc77","[IDN] FirstHealth Carthage-Monroe Family Medicine","2023-04-10 20:32:22.418931+00"
"6a49bf6d-af59-49cc-9bd0-f4d7d9cd7975","[IDN] FirstHealth Seven Lakes Family Medicine","2023-04-10 20:32:23.992225+00"
"ce614a07-9c0e-435a-8dd5-7573fd96020a","[IDN] FirstHealth Carthage-Saunders","2023-04-10 20:32:20.847184+00"
"72349ab5-a353-49e9-83ba-95ea3b48fb02","[DPC] Forward","2023-10-27 18:09:34.844803+00"
"93776760-bcd5-4317-ad19-97e328c0a460","[DPC] Ethos Modern Medicine","2023-10-31 18:11:18.90464+00"
"73a4deeb-8ad0-4332-b0b3-80d24d1ab2f5","[DPC] Sana Vita Health","2023-11-28 17:30:49.508574+00"
"1be5ca91-9dc5-45f2-b82c-7e5a18fa94e3","[DPC] Acropolis Health","2023-12-18 17:59:24.570977+00"
"866f0bb9-fce8-4187-81a8-b01671f5fdc5","[DPC] Central Texas DPC","2024-03-26 15:50:27.142725+00"
"64449acf-f639-4e7c-9692-ca7e7e9915da","[IDN] FirstHealth Family Medicine Chatham","2024-04-24 14:34:20.974389+00"
"94737dab-f17a-488b-9b61-08e12dd1eae2","[DPC] True North Direct Primary Care","2024-12-10 13:26:43.268325+00"
"fb19e85b-7e18-42a0-8e87-74b497101b0d","[IDN] FirstHealth Fayetteville Primary Care","2024-12-13 21:45:06.269949+00"
"067d1f57-ab89-46bf-a65c-ea7598695bb3","Cahaba Medical Care","2025-01-16 22:16:26.600633+00"
"bc3a880a-62e7-4084-9392-b35b95dc9bf9","Doktorconnect","2025-04-04 16:32:59.509436+00"
"573d18a0-0492-4bbb-a52a-573f13485546","[DPC] Link Family Medicine","2025-04-04 19:30:22.251606+00"
